name,year,rate,code,
Gujarat,1999,61.3,12,
Haryana,1999,55.9,13,
Himachal Pradesh,1999,63.9,14,
Jharkhand,1999,41.4,16,
Karnataka,1999,56,17,
Kerala,1999,89.8,18,
Lakshadweep,1999,81.78,19,
Madhya Pradesh,1999,44.7,20,
Maharashtra,1999,64.9,21,
Manipur,1999,59.89,22,
Meghalaya,1999,49.1,23,
Mizoram,1999,82.26,24,
Nagaland,1999,61.65,25,
Orissa,1999,49.1,26,
Puducherry,1999,74.74,27,
Punjab,1999,58.51,28,
Rajasthan,1999,38.55,29,
Sikkim,1999,56.94,30,
Tamil Nadu,1999,62.66,31,
Tripura,1999,60.44,32,
Uttar Pradesh,1999,40.71,33,
Uttaranchal,1999,57.75,34,
West Bengal,1999,57.7,35,
Jammu and Kashmir,1999,63.86,15,
Andaman and Nicobar,1998,73.02,1,
Telangana,1998,0,36,
Andhra Pradesh,1998,44.1,2,
Arunachal Pradesh,1998,41.59,3,
Assam,1998,52.9,4,
Bihar,1998,37.5,5,
Chandigarh,1998,77.81,6,
Chhattisgarh,1998,42.9,7,
Dadra and Nagar Haveli,1998,40.71,8,
Daman and Diu,1998,71.2,9,
Delhi,1998,75.29,10,
Goa,1998,75.51,11,
Gujarat,1998,61.3,12,
Haryana,1998,55.9,13,
Himachal Pradesh,1998,63.9,14,
Jharkhand,1998,41.4,16,
Karnataka,1998,56,17,
Kerala,1998,89.8,18,
Lakshadweep,1998,81.78,19,
Madhya Pradesh,1998,44.7,20,
Maharashtra,1998,64.9,21,
Manipur,1998,59.89,22,
Meghalaya,1998,49.1,23,
Mizoram,1998,82.26,24,
Nagaland,1998,61.65,25,
Orissa,1998,49.1,26,
Puducherry,1998,74.74,27,
Punjab,1998,58.51,28,
Rajasthan,1998,38.55,29,
Sikkim,1998,56.94,30,
Tamil Nadu,1998,62.66,31,
Tripura,1998,60.44,32,
Uttar Pradesh,1998,40.71,33,
Uttaranchal,1998,57.75,34,
West Bengal,1998,57.7,35,
Jammu and Kashmir,1998,63.86,15,
Andaman and Nicobar,1997,73.02,1,
Telangana,1997,0,36,
Andhra Pradesh,1997,44.1,2,
Arunachal Pradesh,1997,41.59,3,
Assam,1997,52.9,4,
Bihar,1997,37.5,5,
Chandigarh,1997,77.81,6,
Chhattisgarh,1997,42.9,7,
Dadra and Nagar Haveli,1997,40.71,8,
Daman and Diu,1997,71.2,9,
Delhi,1997,75.29,10,
Goa,1997,75.51,11,
Gujarat,1997,61.3,12,
Haryana,1997,55.9,13,
Himachal Pradesh,1997,63.9,14,
Jharkhand,1997,41.4,16,
Karnataka,1997,56,17,
Kerala,1997,89.8,18,
Lakshadweep,1997,81.78,19,
Madhya Pradesh,1997,44.7,20,
Maharashtra,1997,64.9,21,
Manipur,1997,59.89,22,
Meghalaya,1997,49.1,23,
Mizoram,1997,82.26,24,
Nagaland,1997,61.65,25,
Orissa,1997,49.1,26,
Puducherry,1997,74.74,27,
Punjab,1997,58.51,28,
Rajasthan,1997,38.55,29,
Sikkim,1997,56.94,30,
Tamil Nadu,1997,62.66,31,
Tripura,1997,60.44,32,
Uttar Pradesh,1997,40.71,33,
Uttaranchal,1997,57.75,34,
West Bengal,1997,57.7,35,
Jammu and Kashmir,1997,63.86,15,
Andaman and Nicobar,1996,73.02,1,
Telangana,1996,0,36,
Andhra Pradesh,1996,44.1,2,
Arunachal Pradesh,1996,41.59,3,
Assam,1996,52.9,4,
Bihar,1996,37.5,5,
Chandigarh,1996,77.81,6,
Chhattisgarh,1996,42.9,7,
Dadra and Nagar Haveli,1996,40.71,8,
Daman and Diu,1996,71.2,9,
Delhi,1996,75.29,10,
Goa,1996,75.51,11,
Gujarat,1996,61.3,12,
Haryana,1996,55.9,13,
Himachal Pradesh,1996,63.9,14,
Jharkhand,1996,41.4,16,
Karnataka,1996,56,17,
Kerala,1996,89.8,18,
Lakshadweep,1996,81.78,19,
Madhya Pradesh,1996,44.7,20,
Maharashtra,1996,64.9,21,
Manipur,1996,59.89,22,
Meghalaya,1996,49.1,23,
Mizoram,1996,82.26,24,
Nagaland,1996,61.65,25,
Orissa,1996,49.1,26,
Puducherry,1996,74.74,27,
Punjab,1996,58.51,28,
Rajasthan,1996,38.55,29,
Sikkim,1996,56.94,30,
Tamil Nadu,1996,62.66,31,
Tripura,1996,60.44,32,
Uttar Pradesh,1996,40.71,33,
Uttaranchal,1996,57.75,34,
West Bengal,1996,57.7,35,
Jammu and Kashmir,1996,63.86,15,
Andaman and Nicobar,1995,73.02,1,
Telangana,1995,0,36,
Andhra Pradesh,1995,44.1,2,
Arunachal Pradesh,1995,41.59,3,
Assam,1995,52.9,4,
Bihar,1995,37.5,5,
Chandigarh,1995,77.81,6,
Chhattisgarh,1995,42.9,7,
Dadra and Nagar Haveli,1995,40.71,8,
Daman and Diu,1995,71.2,9,
Delhi,1995,75.29,10,
Goa,1995,75.51,11,
Gujarat,1995,61.3,12,
Haryana,1995,55.9,13,
Himachal Pradesh,1995,63.9,14,
Jharkhand,1995,41.4,16,
Karnataka,1995,56,17,
Kerala,1995,89.8,18,
Lakshadweep,1995,81.78,19,
Madhya Pradesh,1995,44.7,20,
Maharashtra,1995,64.9,21,
Manipur,1995,59.89,22,
Meghalaya,1995,49.1,23,
Mizoram,1995,82.26,24,
Nagaland,1995,61.65,25,
Orissa,1995,49.1,26,
Puducherry,1995,74.74,27,
Punjab,1995,58.51,28,
Rajasthan,1995,38.55,29,
Sikkim,1995,56.94,30,
Tamil Nadu,1995,62.66,31,
Tripura,1995,60.44,32,
Uttar Pradesh,1995,40.71,33,
Uttaranchal,1995,57.75,34,
West Bengal,1995,57.7,35,
Jammu and Kashmir,1995,63.86,15,
Andaman and Nicobar,1994,73.02,1,
Telangana,1994,0,36,
Andhra Pradesh,1994,44.1,2,
Arunachal Pradesh,1994,41.59,3,
Assam,1994,52.9,4,
Bihar,1994,37.5,5,
Chandigarh,1994,77.81,6,
Chhattisgarh,1994,42.9,7,
Dadra and Nagar Haveli,1994,40.71,8,
Daman and Diu,1994,71.2,9,
Delhi,1994,75.29,10,
Goa,1994,75.51,11,
Gujarat,1994,61.3,12,
Haryana,1994,55.9,13,
Himachal Pradesh,1994,63.9,14,
Jharkhand,1994,41.4,16,
Karnataka,1994,56,17,
Kerala,1994,89.8,18,
Lakshadweep,1994,81.78,19,
Madhya Pradesh,1994,44.7,20,
Maharashtra,1994,64.9,21,
Manipur,1994,59.89,22,
Meghalaya,1994,49.1,23,
Mizoram,1994,82.26,24,
Nagaland,1994,61.65,25,
Orissa,1994,49.1,26,
Puducherry,1994,74.74,27,
Punjab,1994,58.51,28,
Rajasthan,1994,38.55,29,
Sikkim,1994,56.94,30,
Tamil Nadu,1994,62.66,31,
Tripura,1994,60.44,32,
Uttar Pradesh,1994,40.71,33,
Uttaranchal,1994,57.75,34,
West Bengal,1994,57.7,35,
Jammu and Kashmir,1994,63.86,15,
Andaman and Nicobar,1993,73.02,1,
Telangana,1993,0,36,
Andhra Pradesh,1993,44.1,2,
Arunachal Pradesh,1993,41.59,3,
Assam,1993,52.9,4,
Bihar,1993,37.5,5,
Chandigarh,1993,77.81,6,
Chhattisgarh,1993,42.9,7,
Dadra and Nagar Haveli,1993,40.71,8,
Daman and Diu,1993,71.2,9,
Delhi,1993,75.29,10,
Goa,1993,75.51,11,
Gujarat,1993,61.3,12,
Haryana,1993,55.9,13,
Himachal Pradesh,1993,63.9,14,
Jharkhand,1993,41.4,16,
Karnataka,1993,56,17,
Kerala,1993,89.8,18,
Lakshadweep,1993,81.78,19,
Madhya Pradesh,1993,44.7,20,
Maharashtra,1993,64.9,21,
Manipur,1993,59.89,22,
Meghalaya,1993,49.1,23,
Mizoram,1993,82.26,24,
Nagaland,1993,61.65,25,
Orissa,1993,49.1,26,
Puducherry,1993,74.74,27,
Punjab,1993,58.51,28,
Rajasthan,1993,38.55,29,
Sikkim,1993,56.94,30,
Tamil Nadu,1993,62.66,31,
Tripura,1993,60.44,32,
Uttar Pradesh,1993,40.71,33,
Uttaranchal,1993,57.75,34,
West Bengal,1993,57.7,35,
Jammu and Kashmir,1993,63.86,15,
Andaman and Nicobar,1992,73.02,1,
Telangana,1992,0,36,
Andhra Pradesh,1992,44.1,2,
Arunachal Pradesh,1992,41.59,3,
Assam,1992,52.9,4,
Bihar,1992,37.5,5,
Chandigarh,1992,77.81,6,
Chhattisgarh,1992,42.9,7,
Dadra and Nagar Haveli,1992,40.71,8,
Daman and Diu,1992,71.2,9,
Delhi,1992,75.29,10,
Goa,1992,75.51,11,
Gujarat,1992,61.3,12,
Haryana,1992,55.9,13,
Himachal Pradesh,1992,63.9,14,
Jharkhand,1992,41.4,16,
Karnataka,1992,56,17,
Kerala,1992,89.8,18,
Lakshadweep,1992,81.78,19,
Madhya Pradesh,1992,44.7,20,
Maharashtra,1992,64.9,21,
Manipur,1992,59.89,22,
Meghalaya,1992,49.1,23,
Mizoram,1992,82.26,24,
Nagaland,1992,61.65,25,
Orissa,1992,49.1,26,
Puducherry,1992,74.74,27,
Punjab,1992,58.51,28,
Rajasthan,1992,38.55,29,
Sikkim,1992,56.94,30,
Tamil Nadu,1992,62.66,31,
Tripura,1992,60.44,32,
Uttar Pradesh,1992,40.71,33,
Uttaranchal,1992,57.75,34,
West Bengal,1992,57.7,35,
Jammu and Kashmir,1992,63.86,15,
Andaman and Nicobar,1991,73.02,1,
Telangana,1991,0,36,
Andhra Pradesh,1991,44.1,2,
Arunachal Pradesh,1991,41.59,3,
Assam,1991,52.9,4,
Bihar,1991,37.5,5,
Chandigarh,1991,77.81,6,
Chhattisgarh,1991,42.9,7,
Dadra and Nagar Haveli,1991,40.71,8,
Daman and Diu,1991,71.2,9,
Delhi,1991,75.29,10,
Goa,1991,75.51,11,
Gujarat,1991,61.3,12,
Haryana,1991,55.9,13,
Himachal Pradesh,1991,63.9,14,
Jharkhand,1991,41.4,16,
Karnataka,1991,56,17,
Kerala,1991,89.8,18,
Lakshadweep,1991,81.78,19,
Madhya Pradesh,1991,44.7,20,
Maharashtra,1991,64.9,21,
Manipur,1991,59.89,22,
Meghalaya,1991,49.1,23,
Mizoram,1991,82.26,24,
Nagaland,1991,61.65,25,
Orissa,1991,49.1,26,
Puducherry,1991,74.74,27,
Punjab,1991,58.51,28,
Rajasthan,1991,38.55,29,
Sikkim,1991,56.94,30,
Tamil Nadu,1991,62.66,31,
Tripura,1991,60.44,32,
Uttar Pradesh,1991,40.71,33,
Uttaranchal,1991,57.75,34,
West Bengal,1991,57.7,35,
Jammu and Kashmir,1991,63.86,15,
Andaman and Nicobar,1990,63.19,1,
Telangana,1990,0,36,
Andhra Pradesh,1990,35.7,2,
Arunachal Pradesh,1990,25.55,3,
Assam,1990,0,4,
Bihar,1990,32.3,5,
Chandigarh,1990,74.8,6,
Chhattisgarh,1990,32.63,7,
Dadra and Nagar Haveli,1990,32.9,8,
Daman and Diu,1990,0,9,
Delhi,1990,71.94,10,
Goa,1990,65.71,11,
Gujarat,1990,44.92,12,
Haryana,1990,37.13,13,
Himachal Pradesh,1990,0,14,
Jharkhand,1990,35.03,16,
Karnataka,1990,46.21,17,
Kerala,1990,78.85,18,
Lakshadweep,1990,68.42,19,
Madhya Pradesh,1990,38.63,20,
Maharashtra,1990,57.24,21,
Manipur,1990,49.66,22,
Meghalaya,1990,42.05,23,
Mizoram,1990,59.88,24,
Nagaland,1990,50.28,25,
Orissa,1990,33.62,26,
Puducherry,1990,65.14,27,
Punjab,1990,43.37,28,
Rajasthan,1990,30.11,29,
Sikkim,1990,34.05,30,
Tamil Nadu,1990,54.39,31,
Tripura,1990,50.1,32,
Uttar Pradesh,1990,32.65,33,
Uttaranchal,1990,46.06,34,
West Bengal,1990,48.65,35,
Jammu and Kashmir,1990,30.64,15,
Andaman and Nicobar,1989,63.19,1,
Telangana,1989,0,36,
Andhra Pradesh,1989,35.7,2,
Arunachal Pradesh,1989,25.55,3,
Assam,1989,0,4,
Bihar,1989,32.3,5,
Chandigarh,1989,74.8,6,
Chhattisgarh,1989,32.63,7,
Dadra and Nagar Haveli,1989,32.9,8,
Daman and Diu,1989,0,9,
Delhi,1989,71.94,10,
Goa,1989,65.71,11,
Gujarat,1989,44.92,12,
Haryana,1989,37.13,13,
Himachal Pradesh,1989,0,14,
Jharkhand,1989,35.03,16,
Karnataka,1989,46.21,17,
Kerala,1989,78.85,18,
Lakshadweep,1989,68.42,19,
Madhya Pradesh,1989,38.63,20,
Maharashtra,1989,57.24,21,
Manipur,1989,49.66,22,
Meghalaya,1989,42.05,23,
Mizoram,1989,59.88,24,
Nagaland,1989,50.28,25,
Orissa,1989,33.62,26,
Puducherry,1989,65.14,27,
